"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"21,7";"25,8";"20,7";"";"";"";"";"";"";"956,7";"956,8";"956,3";"0,3";"";"8,4";"";"12,2"
"01/01/2022";"0100";"22,3";"22,6";"21,5";"99,0";"";"";"22,1";"";"";"957,6";"957,7";"956,7";"0,4";"";"5,0";"";"0,2"
"01/01/2022";"0200";"22,3";"22,5";"21,9";"100,0";"100,0";"98,0";"22,3";"22,5";"21,9";"957,7";"957,7";"957,5";"0,0";"";"2,6";"";"0,0"
"01/01/2022";"0300";"22,3";"22,5";"22,0";"";"";"";"";"";"";"956,7";"957,7";"956,6";"0,0";"";"0,0";"";"0,0"
"01/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0500";"22,5";"22,7";"22,3";"97,0";"99,0";"96,0";"22,0";"22,5";"21,9";"956,2";"956,8";"956,2";"0,0";"";"2,3";"";"0,0"
"01/01/2022";"0600";"22,3";"22,5";"22,1";"100,0";"100,0";"97,0";"22,3";"22,4";"21,8";"956,6";"956,9";"956,2";"0,2";"";"1,7";"";"0,0"
"01/01/2022";"0700";"22,0";"22,3";"21,9";"100,0";"100,0";"100,0";"22,0";"22,3";"21,9";"956,5";"956,6";"956,5";"0,1";"";"1,7";"";"0,0"
"01/01/2022";"0800";"21,4";"22,0";"21,3";"100,0";"100,0";"100,0";"21,4";"22,0";"21,3";"956,7";"956,7";"956,5";"0,0";"";"1,2";"";"0,0"
"01/01/2022";"0900";"21,5";"21,6";"21,1";"";"";"";"";"";"";"957,4";"957,4";"956,7";"0,0";"";"0,0";"8,70";"0,0"
"01/01/2022";"1000";"23,9";"23,9";"21,5";"92,0";"";"";"22,5";"";"";"958,2";"958,2";"957,4";"0,1";"";"1,5";"172,20";"0,0"
"01/01/2022";"1100";"25,2";"25,2";"23,9";"72,0";"92,0";"70,0";"19,7";"22,6";"18,8";"959,0";"959,0";"958,2";"0,0";"";"2,0";"421,00";"0,0"
"01/01/2022";"1200";"26,1";"26,3";"25,2";"63,0";"72,0";"63,0";"18,5";"19,6";"18,5";"959,3";"959,4";"959,0";"0,4";"";"3,4";"751,80";"0,0"
"01/01/2022";"1300";"27,8";"28,0";"26,0";"58,0";"69,0";"58,0";"18,8";"20,5";"18,2";"959,6";"959,6";"959,3";"0,1";"";"3,4";"1396,50";"0,0"
"01/01/2022";"1400";"28,4";"29,1";"27,6";"52,0";"61,0";"52,0";"17,7";"20,0";"17,7";"959,3";"959,6";"959,3";"0,3";"";"3,7";"2550,80";"0,0"
"01/01/2022";"1500";"29,4";"30,2";"28,1";"49,0";"57,0";"48,0";"17,5";"19,7";"17,5";"958,7";"959,3";"958,7";"0,7";"";"4,6";"2904,60";"0,0"
"01/01/2022";"1600";"30,4";"31,8";"29,3";"47,0";"52,0";"42,0";"17,8";"19,4";"16,6";"957,8";"958,7";"957,8";"0,3";"";"5,3";"3595,80";"0,0"
"01/01/2022";"1700";"28,6";"30,5";"27,9";"54,0";"57,0";"47,0";"18,5";"19,5";"17,0";"957,3";"957,8";"957,3";"1,6";"";"5,3";"1469,30";"0,0"
"01/01/2022";"1800";"30,4";"30,4";"28,5";"49,0";"55,0";"46,0";"18,6";"18,7";"17,2";"956,1";"957,3";"956,1";"0,3";"";"4,2";"1473,50";"0,0"
"01/01/2022";"1900";"31,0";"32,3";"30,4";"42,0";"49,0";"39,0";"16,6";"19,2";"16,3";"955,5";"956,0";"955,5";"0,2";"";"2,9";"2631,00";"0,0"
"01/01/2022";"2000";"29,4";"31,0";"29,4";"52,0";"53,0";"41,0";"18,6";"18,8";"16,1";"955,4";"955,5";"955,3";"0,5";"";"4,7";"614,50";"0,0"
"01/01/2022";"2100";"28,9";"29,6";"28,9";"55,0";"55,0";"50,0";"18,9";"19,1";"18,2";"955,6";"955,6";"955,4";"0,2";"";"3,3";"278,60";"0,0"
"01/01/2022";"2200";"28,5";"29,7";"28,4";"54,0";"56,0";"50,0";"18,3";"19,5";"17,9";"956,4";"956,4";"955,6";"0,1";"";"2,0";"170,00";"0,0"
"01/01/2022";"2300";"28,1";"28,5";"27,8";"55,0";"56,0";"54,0";"18,2";"18,4";"18,2";"957,3";"957,3";"956,4";"1,0";"";"3,4";"";"0,0"
"02/01/2022";"0000";"26,3";"28,1";"26,3";"67,0";"67,0";"55,0";"19,6";"19,7";"18,3";"958,1";"958,1";"957,3";"0,7";"";"5,6";"";"0,0"
"02/01/2022";"0100";"25,6";"26,3";"25,5";"68,0";"68,0";"66,0";"19,3";"19,6";"19,2";"959,1";"959,1";"958,1";"1,2";"";"3,8";"";"0,0"
"02/01/2022";"0200";"24,7";"25,6";"24,7";"71,0";"71,0";"68,0";"19,1";"19,3";"19,1";"959,4";"959,4";"959,1";"1,0";"";"3,4";"";"0,0"
"02/01/2022";"0300";"24,0";"24,8";"24,0";"75,0";"75,0";"71,0";"19,4";"19,4";"19,2";"958,9";"959,4";"958,9";"0,2";"";"3,3";"";"0,0"
"02/01/2022";"0400";"24,1";"24,2";"24,0";"74,0";"76,0";"74,0";"19,3";"19,5";"19,3";"958,7";"958,9";"958,7";"1,1";"";"3,3";"";"0,0"
"02/01/2022";"0500";"23,6";"24,1";"23,6";"78,0";"78,0";"74,0";"19,4";"19,4";"19,2";"958,6";"958,7";"958,6";"0,4";"";"2,6";"";"0,0"
